state,wf_Management,wf_Business and Financial Operations,wf_Computer and Mathematical,wf_Architecture and Engineering,"wf_Life, Physical, and Social Science",wf_Community and Social Service,wf_Legal,wf_Educational Instruction and Library,"wf_Arts, Design, Entertainment, Sports, and Media",wf_Healthcare Practitioners and Technical,wf_Healthcare Support,wf_Protective Service,wf_Food Preparation and Serving Related,wf_Building and Grounds Cleaning and Maintenance,wf_Personal Care and Service,wf_Sales and Related,wf_Office and Administrative Support,"wf_Farming, Fishing, and Forestry",wf_Construction and Extraction,"wf_Installation, Maintenance, and Repair",wf_Production,wf_Transportation and Material Moving,bachelors_plus,broadband,median_hh_income,log_gdp,ms_ai_user_share,openai_rank_2025
NJ,12.959196573820316,7.347145181125085,4.871502589590858,1.8846704788731805,1.3331090449179346,1.7841377242318208,1.4529710030602832,7.0936714098094145,2.4376528704912017,6.216439017407776,2.7827993074921036,2.3733754326868324,4.415646833510778,3.1968621911376123,2.7467529550172864,8.53815845976548,10.455824411425754,0.17958397285135005,4.328968416081479,2.419911796142727,3.6620795506430355,7.519540779917689,43.77591063603724,94.04675540779498,99781,11.838641003608895,34.5,20
NM,10.611499783679973,4.5285806240568975,2.7399833275296253,2.849620648537993,2.16383340192261,2.1472664535122985,1.2063270969852375,7.539966444015322,2.3049162683212514,5.502864921333376,4.292844555594247,2.816381229752973,5.967372608608482,4.002764675467199,2.297107642955881,8.261103548703662,10.728734686124918,0.7709434718836725,6.085029598911014,3.358658604788587,3.3828231346354745,6.441377272679308,31.64805986443761,88.60445025566789,62268,11.570581320878922,23.9,41
NY,11.573289553160382,6.5965029816076814,3.4891752084979704,1.7358121960570971,1.2740434466553612,2.04092558735083,1.9204447012314632,7.5948684121031675,3.2204758552325337,6.738503147637363,4.966901868438039,2.703106952800178,4.931966890306773,3.396181921450878,3.029833367237136,8.459358090087871,9.988695607702486,0.2012771369733414,4.08227822720714,2.3364563370581686,3.2851586859406923,6.434743825263448,40.63985601889212,92.0014388034114,82095,12.09643906949629,32.7,3
NC,12.255202818429925,6.415002563981961,3.980825774270928,2.074951636149354,1.3275155225112263,1.9476511745561216,0.8796312760676279,5.944289126919211,1.9410548003822456,6.822161369873804,2.7900559563729197,1.8369276880607157,5.208554407467783,3.430363129442276,2.117837628242118,9.31453921171608,9.50011720514112,0.35878539528342035,4.988082550659198,3.223906177762533,6.30376283950773,7.338781747201703,36.79334714470097,91.53061612427432,70804,11.68736901275125,30.1,19
ND,12.494086317812254,5.365965478727815,2.398394404803129,2.5932410880199774,1.4105046504708998,2.006506269722435,0.7530495091034126,7.279316012544322,1.4131871454838978,6.758180390473728,3.2458189657274685,1.6265674306087312,4.6880258299883435,3.3450712812083907,2.5064257948720448,8.351338565011487,10.428565157803865,1.2368740641750353,5.106738915199017,3.6857481478591256,5.278662459213883,8.02773212117074,33.552305165709626,89.02203461525947,76525,11.928256132314363,28.2,39
OH,11.187806022059435,5.828027553460771,3.21133742304984,2.381355373981194,0.9650937976359679,1.8663920287698987,0.9155960450898073,5.866304893361994,1.681592351170908,7.403397693090076,3.0390202384087,1.9040642616717791,5.501356217673239,3.1138979073843975,2.2738019270410392,8.443490181101609,10.382961846620589,0.2735429412453206,4.305025102431649,3.1216778545187918,7.67887697673329,8.655381363499703,32.03405927936597,91.1706789221503,67769,11.725222893266269,28.3,30
OK,10.84223697412956,4.95717484978996,2.6415427228634236,1.7301620460820912,0.7707228157982753,2.093577796948282,0.9756211080960262,6.321269265364396,1.559359349174616,6.741456888555028,2.8334522169172605,2.1920761836312996,5.3457563972537345,3.272527717554253,2.661783600126857,9.436091324240452,10.921143923461342,0.691437026517714,5.7078191483028515,4.324187415369861,6.08211301769832,7.898488212124394,28.714199449341216,90.17579077531065,62138,11.53708941352069,28.9,32
OR,12.40703781537616,5.866052545986429,3.977879083562033,3.2730403592910755,1.5329682705902579,2.149755727975397,0.9208000521926385,5.9269122101725165,2.7923537784660604,6.050536379364288,4.362942655243336,1.764311188130175,5.274980439665834,2.8209740117804882,2.2043294174568184,8.896701910983932,9.82688330421308,1.2102406147302294,4.349227801342246,2.7130647793503826,5.117545345926236,6.561462308200388,37.651929491014286,93.3018464084929,80160,11.697921784891763,28.4,13
PA,11.12715275020621,6.448754541203132,3.5200564499029765,2.2114024491520405,1.3086383757777917,2.0633714535803143,1.1376386696835363,5.990020954651484,1.9339341760506348,7.616815033599162,3.8000872186000927,1.8803248931915897,5.0256788621144555,3.0962290533563146,2.4540582820873276,8.305329475214965,10.102732635928282,0.45209297296520273,4.200477155429889,3.133510239279276,5.713130805556428,8.478563552468895,35.3433745436433,91.02178370533538,73824,11.72737580961952,27.2,23
RI,12.051266476340885,6.183027180379532,3.562355513790282,2.7878915643278512,1.4621021827913574,1.9803766735388806,1.0126093807504173,7.288715158054961,2.522412111294132,6.278785583358047,3.6581139167687975,1.8572842488146324,5.794097995147764,2.88686573457057,2.4014635314126864,8.242904766839008,10.102868821707144,0.3721357339631473,4.2332002958505885,2.3916375758831747,5.839833351794219,7.090052202621923,39.04662851417623,92.85958826974188,84972,11.644951188035462,32.5,18
SC,11.126788489298963,5.748993034184587,2.6854011115265553,2.3076076431258317,0.6471918398518071,1.8740669896003488,1.03015076375233,5.979491552294873,1.667329566789141,6.364953735399145,2.851609575800874,2.0583545481239662,5.40684120873248,3.4330411937129255,2.5538011991008926,10.355625717451968,10.192874134935208,0.4291301492141157,4.8259658706434845,3.752981560515894,7.580862225778881,7.126937890165727,32.916376755022306,90.82628586700022,67804,11.533814458056227,29.1,38
SD,12.565253363973582,4.5687405968500645,2.514066371690779,2.0544626212226054,1.166784106851524,1.7924969476132133,0.8100198696096542,6.41794739949342,1.1530298509673473,7.635516451148057,2.6990082123487826,1.933001961568493,5.079975707868069,3.581185024366193,3.183369623408474,8.868320986243628,9.84910523275375,1.6519919336579338,5.474405445838915,3.586686726719864,6.508513884392306,6.906117681413345,33.29997384312699,91.75320095414452,71810,11.796689065721246,27.4,48
TN,11.396691862120251,5.626797427391195,2.7642181953393252,1.901307800907501,0.7660599229611726,1.7716896834203844,1.0110619854637146,5.81056349893389,2.2718610744766763,7.027207603953032,2.573305988229211,2.0327850756154104,5.547405604197047,3.102788154844557,2.387913154118324,8.699112833413704,10.884319751802511,0.2691420570412675,4.694517229158556,3.299248784285474,7.233951696771457,8.928050615555335,31.683342568999347,91.03538456320136,67631,11.683678753438205,28.5,26
TX,11.445108553690918,6.368226837691044,3.8947498388967308,2.3511128770669005,0.8957268090512067,1.4950195826140715,1.042496761353652,6.492962538892395,1.7012398068140837,5.639629387782119,2.861913579242007,2.209742622662746,5.300238946681065,3.2229832044607667,2.220428129049564,9.386517275918065,10.576212749705043,0.3588253339086758,6.0906314504533166,3.40185657156298,4.852841148860091,8.19153599364256,34.241614359098385,92.48309488488448,75780,11.790278360260846,35.3,12
