state,aui,log_aui,tech,resid,bachelors_plus,median_age,broadband,log_gdp
OH,0.6,-0.5108256237659907,3.21133742304984,-0.12835590641887074,32.03405927936597,39.9,91.1706789221503,11.725222893266269
OK,0.52,-0.6539264674066639,2.6415427228634236,-0.10306062380994441,28.714199449341216,37.1,90.17579077531065,11.53708941352069
OR,1.01,0.009950330853168092,3.977879083562033,0.16587767039832246,37.651929491014286,40.7,93.3018464084929,11.697921784891763
PA,0.86,-0.15082288973458366,3.5200564499029765,0.14040854792231464,35.3433745436433,41.1,91.02178370533538,11.72737580961952
RI,1.06,0.058268908123975824,3.562355513790282,0.3369993546339292,39.04662851417623,40.8,92.85958826974188,11.644951188035462
SC,0.5,-0.6931471805599453,2.6854011115265553,-0.1552431682192983,32.916376755022306,40.5,90.82628586700022,11.533814458056227
SD,0.36,-1.0216512475319814,2.514066371690779,-0.4331112667084962,33.29997384312699,38.5,91.75320095414452,11.796689065721246
TN,0.71,-0.342490308946776,2.7642181953393252,0.17212024069227305,31.683342568999347,39.1,91.03538456320136,11.683678753438205
TX,0.96,-0.040821994520255166,3.894749838896731,0.13967321618114567,34.241614359098385,35.9,92.48309488488448,11.790278360260846
VA,1.09,0.08617769624105241,6.636150995831404,-0.5435159824468948,42.42534666348867,39.3,92.13470598089148,11.820455572085567
VT,0.9,-0.10536051565782628,3.0761933408917375,0.31704944668198415,43.67210957973921,43.7,92.02645093915856,11.622341208136168
WA,1.45,0.371563556432483,6.977528523468352,-0.35902023798297106,40.45106716381214,38.6,94.14761395753024,12.015073495187858
WI,0.61,-0.4942963218147801,3.3692444146648604,-0.15849415979416248,33.75427820114396,40.5,91.6053806412162,11.688743077810114
WV,0.24,-1.4271163556401458,2.3592872092485853,-0.7928332126375535,23.98939342560746,42.8,86.82797144870395,11.491444141360278
WY,0.4,-0.916290731874155,1.7607684373750203,-0.10512240085875413,30.425922303412374,39.3,90.50766469389735,11.880690958187454
