geo,indic_is,unit,F,M,M_minus_F_pp
EE,I_IUAIPR,PC_IND_IUAI,76.38,84.65,8.27000000000001
EE,I_IUAIWP,PC_IND,24.88,25.37,0.490000000000002
EE,I_IUAIWP,PC_IND_IU3,26.26,26.72,0.4599999999999973
EE,I_IUAIWP,PC_IND_IUAI,52.49,55.35,2.8599999999999994
EL,I_IUAI,PC_IND,42.59,45.61,3.019999999999996
EL,I_IUAI,PC_IND_IU3,48.06,50.85,2.789999999999999
EL,I_IUAIFE,PC_IND,11.7,10.73,-0.9699999999999989
EL,I_IUAIFE,PC_IND_IU3,13.2,11.96,-1.2399999999999984
EL,I_IUAIFE,PC_IND_IUAI,27.47,23.53,-3.9399999999999977
EL,I_IUAIPR,PC_IND,39.76,42.09,2.3300000000000054
EL,I_IUAIPR,PC_IND_IU3,44.87,46.92,2.0500000000000043
EL,I_IUAIPR,PC_IND_IUAI,93.36,92.27,-1.0900000000000034
EL,I_IUAIWP,PC_IND,14.0,18.19,4.190000000000001
EL,I_IUAIWP,PC_IND_IU3,15.79,20.28,4.490000000000002
EL,I_IUAIWP,PC_IND_IUAI,32.86,39.87,7.009999999999998
ES,I_IUAI,PC_IND,35.91,39.87,3.960000000000001
ES,I_IUAI,PC_IND_IU3,37.2,41.48,4.279999999999994
ES,I_IUAIFE,PC_IND,16.82,15.68,-1.1400000000000006
ES,I_IUAIFE,PC_IND_IU3,17.43,16.31,-1.120000000000001
ES,I_IUAIFE,PC_IND_IUAI,46.85,39.33,-7.520000000000003
ES,I_IUAIPR,PC_IND,27.26,33.25,5.989999999999998
ES,I_IUAIPR,PC_IND_IU3,28.24,34.59,6.350000000000005
ES,I_IUAIPR,PC_IND_IUAI,75.91,83.4,7.490000000000009
ES,I_IUAIWP,PC_IND,17.47,18.42,0.9500000000000028
ES,I_IUAIWP,PC_IND_IU3,18.09,19.16,1.0700000000000003
ES,I_IUAIWP,PC_IND_IUAI,48.64,46.2,-2.4399999999999977
EU27_2020,I_IUAI,PC_IND,30.45,34.91,4.459999999999997
EU27_2020,I_IUAI,PC_IND_IU3,32.49,37.2,4.710000000000001
EU27_2020,I_IUAIFE,PC_IND,9.3,9.35,0.049999999999998934
EU27_2020,I_IUAIFE,PC_IND_IU3,9.92,9.96,0.040000000000000924
EU27_2020,I_IUAIFE,PC_IND_IUAI,30.53,26.77,-3.7600000000000016
EU27_2020,I_IUAIPR,PC_IND,22.76,28.27,5.509999999999998
EU27_2020,I_IUAIPR,PC_IND_IU3,24.28,30.12,5.84
EU27_2020,I_IUAIPR,PC_IND_IUAI,74.74,80.97,6.230000000000004
EU27_2020,I_IUAIWP,PC_IND,13.87,16.87,3.0000000000000018
EU27_2020,I_IUAIWP,PC_IND_IU3,14.8,17.97,3.169999999999998
EU27_2020,I_IUAIWP,PC_IND_IUAI,45.57,48.31,2.740000000000002
FI,I_IUAI,PC_IND,45.01,47.52,2.510000000000005
FI,I_IUAI,PC_IND_IU3,45.69,48.66,2.969999999999999
FI,I_IUAIFE,PC_IND,12.17,10.73,-1.4399999999999995
FI,I_IUAIFE,PC_IND_IU3,12.36,10.99,-1.3699999999999992
FI,I_IUAIFE,PC_IND_IUAI,27.05,22.59,-4.460000000000001
FI,I_IUAIPR,PC_IND,27.56,33.03,5.470000000000002
FI,I_IUAIPR,PC_IND_IU3,27.98,33.82,5.84
FI,I_IUAIPR,PC_IND_IUAI,61.24,69.5,8.259999999999998
FI,I_IUAIWP,PC_IND,24.19,26.03,1.8399999999999999
FI,I_IUAIWP,PC_IND_IU3,24.56,26.65,2.09
FI,I_IUAIWP,PC_IND_IUAI,53.75,54.77,1.0200000000000031
FR,I_IUAI,PC_IND,35.24,39.77,4.530000000000001
FR,I_IUAI,PC_IND_IU3,36.95,42.06,5.109999999999999
FR,I_IUAIFE,PC_IND,11.49,10.41,-1.08
FR,I_IUAIFE,PC_IND_IU3,12.05,11.01,-1.040000000000001
FR,I_IUAIFE,PC_IND_IUAI,32.61,26.18,-6.43
