geo,ind,unit,grp,value,flag,usable
FR,I_IUAIPR,PC_IND,CB_EU_FOR,,u,False
HR,I_IUAIPR,PC_IND,CB_EU_FOR,,u,False
HU,I_IUAIPR,PC_IND,CB_EU_FOR,25.66,,True
IT,I_IUAIPR,PC_IND,CB_EU_FOR,9.56,,True
LT,I_IUAIPR,PC_IND,CB_EU_FOR,,u,False
LU,I_IUAIPR,PC_IND,CB_EU_FOR,33.74,,True
LV,I_IUAIPR,PC_IND,CB_EU_FOR,,u,False
MT,I_IUAIPR,PC_IND,CB_EU_FOR,51.66,,True
NL,I_IUAIPR,PC_IND,CB_EU_FOR,31.65,,True
PL,I_IUAIPR,PC_IND,CB_EU_FOR,,u,False
PT,I_IUAIPR,PC_IND,CB_EU_FOR,43.16,,True
RO,I_IUAIPR,PC_IND,CB_EU_FOR,,u,False
SE,I_IUAIPR,PC_IND,CB_EU_FOR,37.51,,True
SI,I_IUAIPR,PC_IND,CB_EU_FOR,30.14,u,False
AT,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,34.49,,True
BE,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,33.1,,True
BG,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,,u,False
CY,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,27.08,u,False
CZ,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,27.99,u,False
DE,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,23.03,,True
DK,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,37.1,,True
EA,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,25.72,,True
EE,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,,u,False
EL,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,,u,False
ES,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,28.01,,True
EU27_2020,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,26.73,,True
FI,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,22.13,u,False
FR,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,,u,False
HR,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,,u,False
HU,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,26.07,,True
IT,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,10.63,,True
LT,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,,u,False
LU,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,33.83,,True
LV,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,,u,False
MT,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,51.97,,True
NL,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,31.81,,True
PL,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,,u,False
PT,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,43.67,,True
RO,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,,u,False
SE,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,38.46,,True
SI,I_IUAIPR,PC_IND_IU3,CB_EU_FOR,36.99,u,False
AT,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,77.75,,True
BE,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,72.08,,True
BG,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,,u,False
CY,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,91.33,u,False
CZ,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,89.99,u,False
DE,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,88.73,,True
DK,I_IUAIPR,PC_IND_IUAI,CB_EU_FOR,76.14,,True
