geo_id,automation,aui,expected,auto_resid,aui_resid,wave,gdp_pwa,coding_share,personal_share,lang_group,agency_ai_alone,hof_pdi,hof_idv,hof_uai,hof_pdi_regional,hof_idv_regional,hof_uai_regional,globe_pdi_practices,globe_participative,hof_pdi_extended,log_gdp,prompt_edu,task_hours,autonomy,work_share,coursework_share,english_share,internet,tertiary,test_scores,learning_adj_years,expected_years,secondary_enrol,primary_enrol,edu_spend,globe_future,globe_performance,globe_uai,globe_inst_collectivism,hof_longterm,hof_indulgence
ESP,50.44025157232704,1.2605807317206792,55.20073625678151,-0.5836428615194151,-0.3244757162533798,2025-08,53518.68827011927,33.122701122323875,37.25072741466184,english,0.0159229408295655,57.0,51.0,86.0,,,,5.519189189189189,4.825418994413408,57.0,10.887786185348528,11.830365180969238,2.9741463661193848,3.3785030841827393,44.88680718188915,17.86246540344901,85.49243168861804,95.7574516,93.7689666748047,506.621185302734,10.5146961212158,12.9715948104858,118.537803649902,102.936981201172,4.58553981781006,3.50702702702703,4.005405405405407,3.9657657657657657,3.8504504504504506,48.0,44.0
EST,50.43478260869565,3.10575549323648,67.85011259433855,-5.77715607623616,2.4417633294762475,2025-08,49410.33974231546,14.550641940085592,47.68583450210379,english,,40.0,60.0,60.0,,,,,,40.0,10.807914987799064,11.854137420654297,2.3713886737823486,3.4347825050354004,40.53295932678822,11.781206171107996,94.94949494949496,92.23796204,65.6692276000977,543.2060546875,11.7193126678467,13.4839639663696,108.538726806641,97.8220596313477,5.20733976364136,,,,,82.0,16.0
FIN,44.550898203592816,1.8895174643237136,61.237413758953565,-8.948892999789436,0.7440216629927001,2025-08,86239.00920358354,18.735362997658076,43.108182317408016,english,,33.0,63.0,59.0,,,,4.889090909090907,5.924418604651163,33.0,11.364877897250103,12.27896785736084,2.5231411457061768,3.369028091430664,40.25260845689182,16.639209225700164,94.11764705882352,93.72405196,110.304496765137,533.707641601563,11.7387523651123,13.7467031478882,142.395156860352,98.865608215332,6.37578010559082,4.23818181818182,3.810606060606061,5.015909090909091,4.632954545454545,38.0,57.0
FRA,48.98868865030675,1.9438095632497092,52.34030143192482,-0.8620204775858653,0.1504705656708564,2025-08,75225.64794338809,32.21784776902887,40.17413758855856,french,0.0264462809917355,68.0,71.0,86.0,,,,5.277027027027027,6.142265193370166,68.0,11.22824751486611,11.871027946472168,2.7619102001190186,3.4259798526763916,41.7334304442826,18.09243196715884,66.10651974288338,88.65381638,71.5346908569336,510.260589599609,11.268723487854,13.8026580810547,103.78540802002,103.439743041992,5.32434988021851,3.4783783783783795,4.11036036036036,4.434121621621622,3.927364864864865,63.0,48.0
GBR,45.493174518201286,2.6652636438018495,48.50992725719863,-2.78653615202888,0.5930159669831898,2025-08,83152.8295627269,26.752676904941215,41.995374743493706,english,0.0191667623091931,35.0,89.0,35.0,,,,5.153086419753086,5.68213572854291,35.0,11.32843551365996,12.22017765045166,2.7171263694763184,3.3270263671875,44.246115761701574,13.758509494804732,99.42614484104212,95.4720993,80.4146499633789,520.3564453125,11.5380058288574,13.8582963943481,112.120048522949,102.171287536621,5.90681982040405,4.279012345679012,4.082304526748974,4.651234567901234,4.271604938271605,51.0,69.0
GEO,49.03920061491161,2.191490694350285,64.60490319281288,-5.841740435839213,1.2911986218217844,2025-08,14463.249642754525,23.44569288389513,36.37691745799854,english,,,,,,,,5.221666666666667,4.417643229166666,,9.579366203711222,11.713659286499023,2.5000948905944824,3.3929874897003174,44.631117604090576,18.99196493791089,92.63157894736842,83.79855689,78.2652247393707,399.766296386719,8.27399158477783,12.9356689453125,100.959315536762,99.3560206839885,3.98011682083814,3.4123076923076927,3.883333333333334,3.497435897435897,4.032692307692308,38.0,32.0
GHA,60.06528835690968,0.3483687568154062,57.36356220278457,8.154327524228698,-1.0792015291002368,2025-08,3978.246329458356,22.938689217758984,30.744336569579296,english,0.0632411067193675,,,,77.0,20.0,54.0,,,77.0,8.288596380437534,11.97930145263672,4.6748576164245605,3.5543336868286133,40.77669902912622,28.478964401294505,100.0,72.17569733,21.330810546875,307.275787353516,5.95872831344604,12.1200742721558,75.7174682617188,100.967018127441,2.90963831638452,,,,,4.0,72.0
GRC,48.15506772536198,1.28477675431947,61.32872455902635,-5.382173899190292,0.1459297485073565,2025-08,39376.65689246587,21.617915904936016,37.43565746373421,english,,60.0,35.0,112.0,,,,5.403333333333333,5.745726495726496,60.0,10.58092845505126,12.37201690673828,2.8258070945739746,3.3795039653778076,46.70098268600842,15.86335985025737,93.631669535284,86.26968886,165.113418579102,468.63623046875,9.9642505645752,13.2888927459717,105.191741943359,102.020217895508,3.37547993659973,3.401666666666666,3.2041666666666666,3.3916666666666666,3.245833333333333,45.0,50.0
GTM,51.98915009041591,0.3656013171046337,51.07407551673455,2.6577737663369945,-1.5199379151027796,2025-08,9620.500626667832,13.082437275985663,30.816831683168317,english,,95.0,6.0,101.0,,,,5.602419354838711,5.252252252252252,95.0,9.17165158249987,11.784653663635254,3.257908582687378,3.4665842056274414,39.72772277227723,29.455445544554458,93.24894514767932,60.22140121,27.2948879201171,405.257568359375,6.29768991470337,9.71248054504395,49.5765804970836,101.488831252809,3.07588005065918,3.2373655913978494,3.806451612903225,3.3024193548387095,3.704301075268817,,
HND,53.755868544600936,0.2360295771042157,53.00802988739822,3.631295735032616,-1.508688775829591,2025-08,5256.315221358912,11.778290993071591,30.788804071246823,english,,,,,,,,,,,8.56718553198842,11.361323356628418,3.0900254249572754,3.435114622116089,35.87786259541985,33.33333333333333,96.66666666666669,58.62269974,23.3177890777588,399.750793457031,6.1338038444519,9.59004306793213,51.7639813154374,78.9690848390083,4.54962037172702,,,,,,
