geo_id,gdp_pwa,coding_share,personal_share,lang_group,agency_ai_alone,hof_pdi,hof_idv,hof_uai,hof_pdi_regional,hof_idv_regional,hof_uai_regional,globe_pdi_practices,globe_participative,hof_pdi_extended
MYS,16744.801251132354,31.632862118418352,30.926675663517766,english,0.020358306188925,104.0,26.0,36.0,,,,5.17391304347826,5.089583333333334,104.0
NAM,7434.795398545627,,34.78260869565217,english,,,,,,,,5.293333333333334,5.533854166666667,
NER,1446.5138295852926,,26.984126984126984,french,,,,,,,,,,
NGA,1441.664986299227,34.42742523705325,35.23859465128474,english,0.0408986175115207,,,,77.0,20.0,54.0,5.797836538461537,5.1214859437751015,77.0
NLD,105769.21585185928,26.64008232570105,41.46609651802076,english,0.0127511591962905,38.0,80.0,53.0,,,,4.107534246575341,5.588850174216028,38.0
NOR,133499.89761071428,21.348314606741575,43.844856661045526,english,0.0235690235690235,31.0,69.0,50.0,,,,,,31.0
NPL,2250.486467692543,41.403674046161086,28.169856459330145,english,0.0463917525773195,,,,,,,,,
NRU,22698.43507683632,,,,,,,,,,,,,
NZL,74633.69897073443,20.455168631752127,43.715469613259664,english,,22.0,79.0,49.0,,,,4.8868131868131846,5.61911231884058,22.0
OMN,27874.66708509641,6.0606060606060606,29.75206611570248,english,,,,,,,,,,
PAK,2515.0984411018367,48.19562641387483,29.347094458155702,english,0.0351123595505618,55.0,14.0,70.0,,,,,,55.0
PAN,29533.717672235955,12.233285917496444,31.57894736842105,english,,95.0,11.0,86.0,,,,,,95.0
PER,12646.323877661176,22.371541501976285,19.381527193815273,spanish,0.0272314674735249,64.0,16.0,87.0,,,,,,64.0
PHL,5979.632691012824,31.038275406951165,27.297433316557623,english,0.0192107995846313,94.0,32.0,44.0,,,,5.4415525114155265,5.483333333333333,94.0
PLW,24558.587479935795,,,,,,,,,,,,,
PNG,4746.363305666457,,39.130434782608695,english,,,,,,,,,,
POL,38209.25361666856,34.39407585309716,40.00442526828189,english,0.0197368421052631,68.0,60.0,93.0,,,,5.101631701631701,5.2768719806763285,68.0
PRI,59332.5492819456,,44.77317554240632,english,,,,,,,,,,
PRT,46013.61009194968,27.66259585345072,38.31845238095239,english,0.0179968701095461,63.0,27.0,104.0,,,,5.440909090909091,5.256329113924051,63.0
PRY,9785.666997682889,10.3397341211226,32.22416812609457,spanish,,,,,,,,,,
QAT,93076.97642309398,16.596638655462186,34.18994413407821,english,,,,,,,,4.733168316831683,4.619047619047619,
ROU,31327.812791877608,31.289261142686208,39.06490310673639,english,0.0337186897880539,90.0,30.0,90.0,,,,,,90.0
RWA,1702.5314089029812,30.93415007656968,22.633136094674555,english,,,,,,,,,,
SAU,41985.798549031635,30.994989262705797,35.267857142857146,english,0.0244372990353697,,,,80.0,38.0,68.0,,,80.0
SEN,3054.5670941438534,25.845410628019323,25.794155019059723,french,0.0845070422535211,,,,,,,,,
SGP,121453.275988157,26.90232558139535,33.02572157863735,english,0.0154061624649859,74.0,20.0,8.0,,,,4.986363636363638,5.318807339449541,74.0
SLB,3652.4105498553017,,,,,,,,,,,,,
SLE,1509.4225004344053,,51.42857142857142,english,,,,,77.0,20.0,54.0,,,77.0
SLV,8315.64872508447,16.027088036117384,26.119402985074625,spanish,,66.0,19.0,94.0,,,,5.676923076923076,5.44,66.0
SMR,92936.3005676187,,,,,,,,,,,,,
SRB,21462.94212470453,26.575698505523064,39.468008626887126,english,,86.0,25.0,92.0,,,,,,86.0
STP,5799.635701275046,,,,,,,,,,,,,
SUR,10572.67468747999,,,,,85.0,47.0,92.0,,,,,,85.0
SVK,39478.157128320294,22.591362126245848,41.36933461909354,english,,104.0,52.0,51.0,,,,,,104.0
SVN,53656.97978357421,17.6672384219554,41.90193164933135,english,,71.0,27.0,88.0,,,,5.33320610687023,5.331692913385827,71.0
SWE,92702.13665967331,27.708609271523184,42.86064769381747,english,0.0197486535008976,31.0,71.0,29.0,,,,4.851471135940409,5.491433891992551,31.0
SWZ,6705.410759611218,,,,,,,,,,,,,
SYC,24982.71491126988,,1.7196034796682178,,,,,,,,,,,
TCD,1813.1504634520168,,32.35294117647059,french,,,,,,,,,,
TGO,1794.2569461842215,,29.03225806451613,french,,,,,,,,,,
THA,10509.89704549089,28.51307189542483,33.33333333333333,english,0.0156075808249721,64.0,20.0,64.0,,,,5.627027027027025,5.173814898419865,64.0
TJK,2135.408282527255,,38.68613138686132,english,,,,,,,,,,
TKM,17213.224529371688,,,,,,,,,,,,,
TLS,2355.9425874914064,,,,,,,,,,,,,
TON,8938.936614813096,,,,,,,,,,,,,
TTO,26700.53225320523,,38.07531380753138,english,,47.0,16.0,55.0,,,,,,47.0
TUN,6506.121121775293,50.84835630965006,23.0,english,0.0478260869565217,,,,,,,,,
TUR,22651.310447180294,46.43576705363138,40.695296523517385,english,0.0199769496734537,66.0,37.0,85.0,,,,5.571621621621618,5.377758420441347,66.0
TUV,11158.798283261802,,,,,,,,,,,,,
TWN,48391.047952063214,30.464876033057852,35.08862724802691,english,0.0148482892188508,58.0,17.0,69.0,,,,5.181944444444445,4.528601694915254,58.0
TZA,2148.799090380761,30.864197530864196,35.8433734939759,english,,,,,64.0,27.0,52.0,,,64.0
UGA,2079.882474647875,27.631578947368425,25.416036308623298,english,,,,,,,,,,
UKR,7490.372998752378,34.46586082979418,32.224893162393165,english,0.0375699440447641,,,,,,,,,
URY,36408.30401277872,16.272965879265094,35.714285714285715,spanish,,61.0,36.0,100.0,,,,,,61.0
USA,132531.7570859901,26.10597212974185,40.43061765268305,english,0.0180879587018288,40.0,91.0,46.0,,,,4.88244680851064,5.898824517212426,40.0
UZB,5015.875475814878,26.096033402922757,34.26150121065375,english,0.0678466076696165,,,,,,,,,
VCT,17284.20770798316,,,,,,,,,,,,,
VNM,6717.646893699442,42.61480787253984,27.567777669808574,english,0.0241518113858539,70.0,20.0,30.0,,,,,,70.0
VUT,6411.074253636131,,,,,,,,,,,,,
WSM,8801.859269148988,,,,,,,,,,,,,
XKX,10548.29170836731,,42.64705882352941,english,,,,,,,,,,
ZAF,9272.848440503294,25.834627329192543,34.126093785057215,english,0.0410958904109589,49.0,65.0,49.0,,,,5.160439560439557,5.538389513108615,49.0
ZMB,2182.304943750481,9.749303621169917,27.540106951871657,english,,,,,64.0,27.0,52.0,5.314285714285714,5.125,64.0
ZWE,3813.703651493487,20.54054054054054,28.21917808219178,english,,,,,,,,5.666666666666667,5.5,
PSE,,27.035830618892508,31.343283582089555,english,,,,,,,,,,
CUW,,,,,,,,,,,,,,
CYM,,,36.36363636363636,english,,,,,,,,,,
GP,,,46.87500000000001,,,,,,,,,,,
JE,,,100.0,,,,,,,,,,,
MCO,,,34.090909090909086,mixed,,,,,,,,,,
MQ,,,42.98245614035088,,,,,,,,,,,
NCL,,,46.666666666666664,french,,,,,,,,,,
PYF,,,35.2112676056338,french,,,,,,,,,,
RE,,,40.3921568627451,,,,,,,,,,,
HKG,,,,,,68.0,25.0,29.0,,,,4.959090909090907,4.983430799220272,68.0
IRN,,,,,,58.0,41.0,59.0,,,,5.432648402,4.9821029082774055,58.0
RUS,,,,,,93.0,39.0,95.0,,,,5.521666666666663,5.176910299003322,93.0
VEN,,,,,,81.0,12.0,76.0,,,,5.400000000000002,4.776408450704225,81.0
LBY,,,,,,,,,80.0,38.0,68.0,,,80.0
ETH,,,,,,,,,64.0,27.0,52.0,,,64.0
