geo_id,rule_of_law,reg_quality,gov_eff
LBR,-0.9152446389198303,-0.9808861613273621,-1.43825364112854
LBY,-1.802445411682129,-2.089348077774048,-1.7549141645431519
LCA,0.6615921854972839,0.43921199440956116,-0.09709381312131882
LIE,1.7204163074493408,1.6293485164642334,1.4878358840942383
LKA,-0.05692531540989876,-0.6536428332328796,-0.39120447635650635
LSO,-0.48737218976020813,-0.6153115034103394,-0.8905739188194275
LTU,1.0602790117263794,1.2988812923431396,0.9943187832832336
LUX,1.7691470384597778,1.8339669704437256,1.7727150917053223
LVA,0.9219959378242493,1.170886754989624,0.6918951272964478
KSV,-0.3660312592983246,-0.3893622159957886,-0.19438958168029785
MAC,0.7917464375495911,1.8245880603790283,1.1053333282470703
MAR,-0.1973034292459488,-0.08688965439796448,-0.13164964318275452
MCO,1.4854499101638794,1.39833402633667,2.046895980834961
MDA,-0.2866586744785309,0.10179071128368378,-0.307013601064682
MDG,-0.9423553347587585,-0.8154998421669006,-0.9877282381057739
MDV,-0.02735590748488903,-0.6572946310043335,-0.13417544960975647
MEX,-0.8666425347328186,-0.14830949902534485,-0.28089895844459534
MHL,0.7259778380393982,-0.3944624662399292,0.23068733513355255
MKD,-0.09628012031316757,0.452958881855011,-0.08107149600982666
MLI,-0.9993222951889038,-0.6341217756271362,-1.1968234777450562
MLT,0.7872027158737183,0.6740937829017639,0.8043901920318604
MMR,-1.52855384349823,-1.235084056854248,-1.6840410232543945
MNG,-0.1874232292175293,-0.2708905041217804,-0.42490869760513306
MNE,-0.12540140748023987,0.543230414390564,-0.027014989405870438
MOZ,-1.0214757919311523,-0.7262184619903564,-0.714270293712616
MRT,-0.6586431264877319,-1.0622172355651855,-0.7010241746902466
MTQ,0.692453920841217,0.9721168875694275,0.9437137842178345
MUS,0.7999890446662903,1.166106104850769,0.750284731388092
MWI,-0.21899549663066864,-0.7397362589836121,-0.8409309983253479
MYS,0.5618979930877686,0.644006609916687,0.9932705760002136
NAM,0.40454351902008057,-0.01500138733536005,0.039499521255493164
NER,-0.48488402366638184,-0.7208038568496704,-0.6392157673835754
NGA,-0.9137343168258667,-1.1559447050094604,-1.0351234674453735
NIC,-1.309880256652832,-0.9147337675094604,-1.0358163118362427
NIU,-0.5523272156715393,0.1309635043144226,1.257087230682373
NLD,1.6574256420135498,1.712272047996521,1.5794693231582642
NOR,1.7621715068817139,1.5161395072937012,1.9421806335449219
NPL,-0.44867846369743347,-0.6502349376678467,-0.9173447489738464
NRU,-0.023583661764860153,0.01924540102481842,0.19998539984226227
NZL,1.731797218322754,1.8651930093765259,1.3405319452285767
OMN,0.5004811882972717,0.4326449930667877,0.022041289135813713
PAK,-0.6724922060966492,-0.8864126205444336,-0.6236407160758972
