geo_id,prompt_edu,task_hours,autonomy,work_share,coursework_share,english_share,internet,tertiary
OMN,11.512396812438965,3.767245292663574,3.443526268005371,45.17906336088154,25.068870523415974,98.3957219251337,95.25174678,42.226921081543
PAN,11.167105674743652,3.2515792846679688,3.4184210300445557,34.473684210526315,33.94736842105263,90.45454545454544,72.77149963,53.6949637061742
PER,11.879051208496094,3.363028049468994,3.420203447341919,32.808897328088975,47.80957547809576,91.52798789712556,81.95705992,
PYF,12.142857551574709,3.187662363052368,3.4285714626312256,64.78873239436619,,62.06896551724138,,
PNG,10.372549057006836,2.9633331298828125,3.5098040103912354,60.86956521739131,,100.0,18.81159973,
PHL,11.738801956176758,2.961841821670532,3.424358367919922,40.1711122294917,32.53145445395068,99.84423676012462,67.26300914,47.4134996154186
PAK,11.476783752441406,3.775440454483032,3.543292999267578,49.43908458604442,21.213820955799864,99.80337078651684,57.253,10.8564126844434
POL,12.039711952209473,2.564443588256836,3.382079601287842,48.15798207766346,11.837592654054653,94.4838056680162,88.58496367,80.9149627685547
PRI,11.383858680725098,2.8863189220428467,3.324803113937378,32.544378698224854,22.682445759368836,96.6346153846154,87.29178106,77.9263575380698
PSE,12.446096420288086,3.415985107421875,3.5204460620880127,43.28358208955225,25.37313432835821,100.0,86.63765334,44.4904623709098
PRT,11.788442611694336,2.845104217529297,3.3968253135681152,46.45337301587302,15.2281746031746,84.19405320813772,88.48704454,77.6778182983398
PRY,11.7145357131958,3.129964828491211,3.4851138591766357,44.65849387040281,23.117338003502628,78.90625,81.57806793,
QAT,11.78324031829834,3.5875420570373535,3.394413471221924,40.78212290502793,25.027932960893857,99.59183673469389,98.08540344,43.0178909301758
RE,11.278430938720703,2.943019390106201,3.4235293865203857,38.43137254901961,21.176470588235293,,,
ROU,11.84501838684082,2.84195876121521,3.4145140647888184,45.06305752076284,15.872039372500769,95.56840077071293,91.29048551,55.1682891845703
SRB,11.912293434143066,2.5987708568573,3.4004313945770264,52.55212077641984,7.979870596693027,92.7927927927928,87.69071294,70.582649230957
RWA,12.044313430786133,3.738700389862061,3.583456516265869,42.159763313609474,35.20710059171598,97.14285714285714,31.70330048,9.41173924647801
SAU,11.662627220153809,3.89688491821289,3.453443765640259,43.36734693877551,21.364795918367346,98.77813504823152,100.0,83.884129573915
SYC,16.972042083740234,5.758000373840332,3.576046943664551,92.32449929192798,5.955897228403803,,87.81800079,14.5342502593994
SWE,12.07626247406006,2.481621026992798,3.3575282096862793,44.136408243375854,13.002944062806673,91.74147217235188,95.52930428,83.9988098144531
SGP,12.829996109008787,3.231816291809082,3.3873183727264404,40.78146475554683,26.192813665815827,99.2296918767507,94.37757178,97.2886546863037
SVN,12.049034118652344,2.296255588531494,3.364041566848755,45.61664190193165,12.481426448737,92.20779220779221,90.76355487,80.0806884765625
SVK,11.806171417236328,3.1675796508789062,3.3866922855377197,42.333654773384765,16.2970106075217,92.30769230769232,89.82507032,54.4743194580078
SLE,10.341463088989258,3.379267930984497,3.658536672592163,48.57142857142856,,94.44444444444444,25.10499954,
SEN,11.72299861907959,3.547865152359009,3.672172784805298,43.07496823379924,31.13087674714104,70.77464788732394,60.11780167,15.3302400879779
SUR,11.121212005615234,2.3887879848480225,3.3636362552642822,,,,87.4,2.56642457392281
SLV,11.78544807434082,3.3065671920776367,3.527985095977783,39.365671641791046,34.51492537313433,88.81118881118881,66.47769928,32.8347079463918
SWZ,12.627119064331056,6.4059319496154785,3.6440677642822266,53.191489361702125,46.808510638297875,,63.40309906,
TCD,11.147058486938477,3.2792646884918213,3.661764621734619,29.411764705882355,38.23529411764706,66.66666666666666,12.62689972,4.39665967267065
TGO,11.447580337524414,4.077580451965332,3.75,37.903225806451616,33.064516129032256,77.46478873239437,39.48320007,14.9029897765252
THA,11.672185897827148,3.376551389694214,3.4800796508789062,48.94782716971734,17.71883949694932,97.26867335562987,90.86718789,44.9845744019321
TJK,10.591240882873535,2.8305108547210693,3.5036497116088867,35.03649635036496,26.277372262773724,75.0,55.79339981,35.6398418742497
TLS,11.028571128845217,2.594285726547241,3.742857217788696,,100.0,,35.04199982,30.9611108169641
TUN,12.426400184631348,3.496667861938477,3.6284000873565674,39.16,37.84,87.53623188405797,76.5,38.1219482421875
TUR,11.70427131652832,3.393911838531494,3.455805540084839,42.24039990911157,17.064303567371052,95.38993469074144,87.3078767,105.88606262207
TTO,11.401673316955566,3.3065690994262695,3.5271966457366943,38.49372384937239,23.430962343096233,100.0,82.15989685,23.8493010569383
TWN,12.493983268737791,3.547492504119873,3.4796221256256104,45.80152671755725,19.10984603441584,92.44673983214976,,
TZA,11.57530117034912,3.638132572174072,3.572289228439331,53.01204819277109,11.144578313253012,98.69281045751634,31.16209984,4.01880979537964
UKR,11.623180389404297,2.754094123840332,3.392709255218506,36.01762820512821,31.757478632478637,81.13509192645884,82.47489929,87.1920013427734
UGA,12.15885066986084,4.219666957855225,3.6550681591033936,42.36006051437216,32.22390317700454,100.0,8.949831061,
USA,12.312009811401367,2.6975748538970947,3.24662446975708,41.95448874966991,17.61489359764704,99.59582216175116,94.69380188,79.361930847168
URY,11.948328018188477,3.0361247062683105,3.3966565132141113,41.33738601823708,22.9483282674772,87.01298701298701,91.99109007,79.9536903496537
UZB,10.476420402526855,3.3076541423797607,3.5392987728118896,28.45036319612591,37.28813559322034,89.97050147492625,89.50550079,56.517478700865
