iso3,HD.HCI.HLOS,HD.HCI.LAYS,HD.HCI.EYRS,SE.SEC.ENRR,SE.PRM.ENRR,SE.XPD.TOTL.GD.ZS
IRQ,363.432495117188,4.03086042404175,6.93192768096924,,,
ISL,497.682769775391,10.7183113098144,13.4602708816528,108.911361694336,98.2218322753906,7.30798006057739
ISR,480.752197265625,10.5865087509155,13.7629480361938,98.5473403930664,97.4422836303711,5.93291997909546
ITA,492.987823486328,10.4518785476685,13.2506809234619,100.678756713867,103.566017150879,4.06775999069214
JAM,387.132995605469,7.05798578262329,11.3946399688721,84.4572372436523,97.2972106933594,5.51383018493652
JOR,429.954071044922,7.6661262512207,11.1438150405884,91.7518621587381,98.5516247069238,3.23356008529663
JPN,537.723449707031,11.7351493835449,13.6398515701294,101.537071228027,101.125762939453,3.33663988113403
KAZ,416.154632568359,9.12743663787842,13.7080001831055,97.198884231219,97.5368516005886,4.86469984054565
KEN,454.958404541016,8.46923923492432,11.6346340179443,84.3083880306996,98.2483475806861,4.02242346098974
KGZ,420.086517333984,8.65210056304932,12.8724975585938,91.339996215143,98.5949565397186,6.82694680798777
KHM,451.889587402344,6.84398031234741,9.46578025817871,58.7893230437643,108.971332849667,2.1809128340295
KIR,411.484497070313,7.38194513320923,11.2123680114746,90.2786712646484,95.2685003274394,16.39053
KNA,409.074462890625,8.47775077819824,12.9526405334473,137.513208876365,121.118748518606,3.49726171629099
KOR,537.209716796875,11.684027671814,13.5934190750122,96.2539901733398,100.866508483887,5.40910005569458
KWT,383.402221679688,7.38203382492065,12.0337619781494,95.3934020996094,82.3634126791806,6.43592667889685
LAC,,,,97.849609375,104.340461730957,3.79014883614714
LAO,368.14208984375,6.25232076644897,10.614652633667,51.8523602531839,93.8514019047136,1.23375160355741
LBN,389.889038085938,6.33523941040039,10.1555166244507,63.7923011779785,81.7691124093498,1.22490869993085
LBR,331.745941162109,2.20650243759155,4.15698862075806,37.7416801452637,66.5939255094706,2.2665256232687
LCA,417.760650634766,8.4803295135498,12.6871833801269,87.8672424011515,96.7822958387075,3.84700018653403
LCN,,,,98.0161209106445,104.589141845703,3.81964993476868
LDC,,,,46.8867797851562,100.6826171875,3.20149725837724
LIE,,,,118.726867675781,102.110137939453,2.55604004859924
LKA,400.0,8.46218395233154,13.2221622467041,87.9534065332114,91.4511421235026,1.82774571561927
LMY,,,,73.9114227294922,102.346519470215,3.45929503440857
LSO,392.911987304688,6.31405115127563,10.0436792373657,59.3586515505342,80.1830208282055,6.62253066096596
LTE,,,,94.1665420532227,100.273399353027,4.03084428001739
LTU,495.886291503906,10.9752321243286,13.8328495025635,104.860809326172,100.533866882324,4.25285005569458
LUX,492.847839355469,9.79557704925537,12.4221620559692,108.577438354492,99.2204437255859,3.74451994895935
LVA,503.869781494141,10.9788007736206,13.6181030273438,101.252647399902,97.5693511962891,4.3196702003479
MAC,560.613525390625,11.5738143920898,12.9030666351318,94.6616766467066,89.8103044496487,3.50183010101318
MAR,380.405212402344,6.31768131256104,10.3798542022705,89.9834863018408,116.588650279809,6.02096928801329
MCO,,,,158.546615600586,120.58309173584,1.73223996162415
MDA,438.620941162109,8.28882122039795,11.8109121322632,99.3439166347193,107.605837807201,6.55709981918335
MDG,350.773315429688,4.71344089508057,8.39830303192139,34.1320359801924,132.73958355273,3.04770386693564
MDV,,,,79.3565296847573,99.7145381635289,5.16706374664829
MEA,,,,65.7879486083984,94.6325531005859,4.38311004638672
MEX,430.065124511719,8.82425403594971,12.8240079879761,103.093322753906,102.280960083008,4.05987977981567
MHL,375.029693603516,5.65948820114136,9.43173313140869,85.7558637219654,101.801289343951,7.70088005065918
MIC,,,,79.1449584960938,103.311218261719,3.56927475138052
MKD,413.617309570313,7.29640483856201,11.0252952575684,90.0724868774414,96.3131713867188,
MLI,307.364959716797,2.57839322090149,5.24293899536133,38.9389470920545,72.7972336510107,4.18465094218116
MLT,474.434997558594,10.1930236816406,13.427845954895,103.027229309082,97.7078399658203,4.71258020401001
MMR,424.631286621094,6.78796720504761,9.9909725189209,77.0191497802734,120.214569091797,1.99976003170013
MNA,,,,,,3.73344993591309
MNE,436.129730224609,8.9080924987793,12.765830039978,93.8724975585938,106.109619140625,
MNG,434.618682861328,9.15325736999512,13.1627712249756,96.8181201904352,92.3400789423552,5.21229982376099
MOZ,368.243591308594,4.47178792953491,7.58972454071045,37.2411918640137,119.162225223393,5.97607342054314
MRT,342.093566894531,4.23143672943115,7.73077392578125,36.0277030077074,105.434763333022,7.61007976531982
MUS,472.767211914063,9.40572452545166,12.4344024658203,90.7246586359898,107.347861424363,4.247389793396
MWI,359.484069824219,5.50565242767334,9.57214260101318,36.644092994481,139.016258677384,2.74888371105811
MYS,445.675323486328,8.88928508758545,12.4660329818726,80.2757406864183,90.3595586965317,3.51481008529663
NAC,,,,98.0855178833008,96.7801818847656,4.84426021575928
NAM,406.661865234375,6.10606479644775,9.38443183898926,81.9566828199727,120.719328687086,9.08440819434816
NER,304.922241210938,2.682461977005,5.4982500076294,19.8664761204349,64.6534815281519,4.07412707618114
NGA,309.024963378906,5.03834247589111,10.1899995803833,46.8931503295898,89.5871124267578,0.319069049792343
NIC,391.990447998047,6.74772310256958,10.758749961853,70.1749572753906,109.536392211914,2.86954998970032
NLD,519.634643554688,11.5390224456787,13.8787689208984,137.514724731445,104.15657043457,5.17918014526367
NOR,513.587829589844,11.2338733673096,13.6708278656006,116.254272460938,98.5439224243164,5.43234014511108
NPL,368.557586669922,7.22666120529175,12.2549734115601,90.3878462155916,124.621898762462,3.68849173764595
NRU,,,,91.5133521769495,99.5668650325592,5.77715015411377
NZL,519.748413085938,11.3902349472046,13.696813583374,114.231056213379,96.6948623657227,5.21326017379761
OED,,,,105.364547729492,100.67236328125,5.05915021896362
OMN,423.513427734375,8.64499092102051,12.7578458786011,95.1220397949219,94.7204132080078,4.38311004638672
OSS,,,,73.5171127319336,102.251792907715,5.00431592836751
PAK,338.656555175781,5.0792350769043,9.37386798858643,48.2805022055997,83.726068200404,1.94658005237579
PAN,376.864685058594,6.48086738586426,10.7480020523071,76.5998992919922,96.9385299682617,2.47225999832153
