geo_id,automation_pct,expected_automation_pct,auto_resid,aui,log_gdp,coding_share,directive,bachelors_plus,broadband,median_hh_income,directive_resid,z_bachelors_plus,z_log_gdp,z_broadband,z_coding_share
IA,50.0,64.75585233752167,1.4609982121796605,0.3834677535905934,11.747294502190202,8.198924731182796,39.726027397260275,31.549672848125365,89.93212153662424,71433,0.6745759645879872,-0.6583330591928562,-0.04760477040440417,-1.0654652934044402,-0.8717050374348501
ID,45.31772575250836,61.27045644980549,-3.0709772749919324,0.503002794368721,11.526051686209733,2.9654036243822075,36.95652173913044,32.14258361772653,92.81248806672812,74942,-2.0108310777407326,-0.5759331331495148,-1.0287960427443312,0.5743899822080765,-1.6850664398459323
IL,46.70623145400594,50.422370916308445,-1.2146757017895595,0.8811237163626064,11.835734834592671,20.566146735990756,37.52225519287833,38.27775836425594,91.64663888148337,80306,-1.1833457292727587,0.27670434840114283,0.3446198624795158,-0.08935330081195256,1.050331929357701
IN,45.540691192865104,57.619170665050824,-2.690559497884294,0.4348039897157123,11.69112421239755,14.582195521572912,35.395763656633214,30.214670951273792,90.8075158237325,69477,-3.483487810983938,-0.8438652896873148,-0.29671477140086544,-0.5670842974609236,0.12034333231279244
KS,45.73643410852713,68.78985538973093,-2.976523716830066,0.5183784141223926,11.746536279190936,7.943416757344941,36.434108527131784,35.81915826795321,91.62748035074138,70333,-2.7146787846651534,-0.06498022960335609,-0.05096741875106638,-0.10026066880900522,-0.9114145025706502
KY,51.38297872340426,63.5543833173474,2.8957872062425736,0.3466248935539725,11.521436055464946,8.116545265348595,42.12765957446808,27.84642492215848,90.05207695498983,61118,3.1051982148835293,-1.172992888065746,-1.0492659349894606,-0.9971720662789231,-0.8845079432593272
LA,47.63779527559055,67.19066910908253,-1.0062017420864109,0.3754584759332098,11.637332720599437,10.12536162005786,38.48425196850394,26.991520493939042,88.010458499985,58229,-0.6259488076616648,-1.2918034499092974,-0.5352750249600736,-2.159509831017074,-0.5723101601397529
MA,45.25488938762424,49.83841444187228,-2.640836142606723,1.4234039277139832,12.02205146543397,19.11187823630943,36.389868547611414,47.78163561635906,93.87993647946578,99858,-2.3016421728035468,1.5975081233520947,1.1709167583272022,1.1821115665194066,0.8243185356511121
MD,47.49864056552474,53.67088563176016,-0.5623504574534195,0.984597447574848,11.81579957541326,16.272896203875764,38.907014681892335,43.746985123,92.91324120492386,98678,0.12303081565678298,1.036791537807273,0.2562088456879067,0.6317509338362867,0.3831015499548902
MI,48.91550663645193,55.14366003984071,0.7910059936495912,0.5127367276389831,11.606649986480592,18.32909783989835,38.68565878925219,32.675642878506636,91.56976383273906,69183,-0.13386143873308498,-0.5018510858719024,-0.6713500916035681,-0.1331199370816026,0.7026636597058342
MN,48.645598194130926,53.204651783763836,0.6047123103193286,0.7748942666348392,11.822675419561337,16.451969083548033,39.27765237020316,39.98924287879845,92.16756979942264,85086,0.5049181933915037,0.5145583471023162,0.28670257375841735,0.20722399415528522,0.4109319466556438
MO,49.70430864545198,57.680990183365765,1.470392146494376,0.9866031486526072,11.6485870945269,20.08627662442707,39.56631934666291,33.22479152029813,90.74182666861222,68545,0.6855762447846061,-0.42553301274791594,-0.4853629253317133,-0.6044825613445961,0.9757534918293945
NC,46.27722772277228,51.49317479146707,-1.6898551043578394,0.7685642805938462,11.68736901275125,18.287037037037035,37.2079207920792,36.79334714470097,91.53061612427433,70804,-1.5235174026791967,0.07040791902187181,-0.31336873190356496,-0.15540757845747452,0.696126830503529
NE,50.0,65.97980319962105,1.4082184697364752,0.5152675263175608,11.904937242166904,2.5974025974025974,39.53488372093023,35.2863959805576,92.07127972241062,74590,0.4538997540416929,-0.13902100492880684,0.6515260914381177,0.152403960271753,-1.7422588778402899
NH,46.83195592286501,67.5157117654335,-1.8260577258847164,0.853436852915324,11.806319034582089,10.461956521739133,37.60330578512397,40.74832802277478,93.85909923387996,96838,-1.5147378985207425,0.6200523993799015,0.2141635305467848,1.1702484696718278,-0.5199986674202237
NJ,48.49005646943285,55.392116071573994,0.3548417973590716,0.8464216079702884,11.838641003608895,15.65728175005064,39.258531794745885,43.77591063603724,94.04675540779498,99781,0.433016606925527,1.0408114683891332,0.357508451254827,1.2770852085311357,0.28742656837182384
NM,44.97681607418856,64.32773277444251,-3.5437241552686842,0.5237041605533537,11.570581320878922,7.239819004524888,35.08500772797527,31.64805986443761,88.60445025566789,62268,-3.9561136693689747,-0.6446596984050139,-0.8313112624848414,-1.8213374130117246,-1.0207633029840788
NV,48.560641812175554,61.26761757251076,0.17206120397908364,1.080031690429606,11.720234567084,20.421245421245423,38.31996224634261,28.7207428548858,93.91059741892813,76364,-0.6473220716668422,-1.051484329461624,-0.1676130610177085,1.199567505826811,1.0278122654130335
NY,45.8578158911651,48.5217511921296,-1.9811319126409401,1.5760184933238062,12.09643906949629,23.90168175937905,37.13408501402784,40.63985601889212,92.00143880341139,82095,-1.525656128311411,0.6049774748618048,1.5008188505274285,0.11264200696562687,1.568720102262753
